open,high,low,close,volume,market,viable
0.00208,0.00208,0.00207,0.00208,6,35,1
5.00E-05,6.00E-05,5.00E-05,5.00E-05,2,467,1
6.00E-05,7.00E-05,6.00E-05,6.00E-05,209,1416310,1
0.04976,0.07401,0.04817,0.07072,268,122165,1
0.0406,0.04391,0.0403,0.0403,179,232679,1
6.51,6.61,6.41,6.42,628370,85860100,1
0.00435,0.00466,0.00423,0.00439,549,524359,1
0.00034,0.00044,0.00031,0.00034,52,18895,1
2.82,2.85,2.77,2.82,1328080,119373000,1
0.00191,0.00212,0.00165,0.00165,50,122231,1
0.00163,0.0018,0.00161,0.0018,27,266064,1
0.33265,0.33313,0.3204,0.32348,1481,1016500,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,4830,343525,1
5.00E-05,5.00E-05,4.00E-05,5.00E-05,8,17745,1
0.05198,0.05618,0.04731,0.05176,501,149174,0
0.02724,0.02727,0.02005,0.02051,483,9173,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,898,66286,1
0.02638,0.02825,0.02135,0.02439,14225,338986,0
0.00953,0.01063,0.00863,0.01031,4593,161629,1
4.22,4.23,3.27,3.55,12488,2341510,1
0.00549,0.01037,0.00534,0.00621,36,623533,1
0.00897,0.01103,0.00802,0.00809,94,100484,0
0.03511,0.03662,0.03473,0.03662,3467,1024400,1
0.00722,0.00804,0.00695,0.00714,4893,155368,1
6.00E-05,6.00E-05,6.00E-05,6.00E-05,122,24707,1
0.2757,0.3387,0.26788,0.27846,2712,478212,1
0.00587,0.00606,0.00441,0.00483,4988,99883,1
0.02662,0.03445,0.02394,0.02979,344291,17573500,0
0.00015,0.00093,0.00015,0.00092,22,1766,0
0.03117,0.03416,0.03031,0.03298,207,382368,1
0.00671,0.00731,0.00599,0.00731,50,134728,0
0.66656,0.96029,0.66621,0.71759,44429,1083570,1
8.00E-05,8.00E-05,5.00E-05,8.00E-05,38,103716,1
0.07504,0.08564,0.07409,0.07452,376,24941,1
6.00E-05,7.00E-05,3.00E-05,4.00E-05,526,126820,1
0.00051,0.00084,0.00048,0.00053,50,9458,1
2.00E-05,3.00E-05,2.00E-05,2.00E-05,14,10651,1
0.05454,0.05591,0.05265,0.05525,6738530,189293000,0
0.00023,0.00023,0.00023,0.00023,1,2632,1
4.00E-05,5.00E-05,4.00E-05,4.00E-05,7,4640,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,43,51009,1
0.00085,0.00088,0.00053,0.00064,9275,30742,1
0.00957,0.01129,0.00938,0.01129,267,155159,1
0.03503,0.03875,0.03484,0.03592,1292,407006,1
0.02442,0.02444,0.02252,0.02397,19721,1832730,1
0.10129,0.1044,0.09618,0.10314,3352,410215,1
0.0258,0.03123,0.02511,0.03123,14934,827950,1
0.00175,0.00176,0.00143,0.00147,894,32637,1
0.01053,0.01053,0.01001,0.01028,41,1634,1
0.00014,0.00015,0.00012,0.00013,405,68308,1
0.75612,0.9141,0.7392,0.79841,1572,142922,1
0.00027,0.00027,0.00017,0.00023,481,24218,1
0.01391,0.01638,0.01187,0.01323,5076,709317,1
0.01192,0.02183,0.01191,0.01364,333,13058,1
0.00905,0.01036,0.00896,0.01036,119,12503,1
0.04009,0.04346,0.03563,0.04333,1061890,6764950,1
2.00E-05,3.00E-05,1.00E-05,2.00E-05,15,2263,0
0.0113,0.03563,0.0113,0.02198,1795,12454,0
3.00E-04,3.00E-04,0.00027,0.00028,2,10806,1
0.00038,0.00109,0.00038,4.00E-04,94,6457,1
0.00322,0.00348,0.00305,0.00332,49,60449,0
0.21987,0.24457,0.21523,0.23381,40786,1193630,1
0.02371,0.02375,0.01973,0.02018,299,322722,1
0.0029,0.00322,0.00281,0.00322,331,13986,1
0.4068,0.41108,0.37188,0.40554,565,563098,1
1.66,1.67,1.46,1.58,504803,137191000,0
0.03262,0.03691,0.02253,0.02679,106434,857377,1
0.2258,0.22581,0.20396,0.20421,1737,394720,1
3.00E-04,0.00038,0.00028,0.00034,3932,102268,1
0.01421,0.01429,0.01272,0.01312,32,10880,1
0.26983,0.3785,0.2286,0.26735,1726,41344,1
0.01351,0.01372,0.0105,0.01297,168,19879,1
0.01853,0.02113,0.01763,0.0201,2071210,7417980,1
0.00252,0.00252,0.00171,0.00193,43,150186,1
0.00014,0.00014,0.00013,0.00014,23,25151,1
0.00493,0.00495,0.00465,0.00469,24,253247,1
0.70924,0.78419,0.68028,0.69872,4164,680339,1
0.51472,0.56201,0.472,0.51751,7151,1170410,1
0.00332,0.00361,0.00332,0.00355,1997,543651,1
0.00154,0.00181,0.00153,0.00178,1128,153695,1
0.041,0.04103,0.03388,0.03714,6577,275314,1
6.00E-05,7.00E-05,5.00E-05,6.00E-05,2062,107136,1
0.02158,0.02236,0.02083,0.02168,5809,232383,0
0.0027,0.003,0.0026,0.00271,349,158039,1
0.03187,0.03275,0.03125,0.0327,5501,3238200,1
0.00941,0.00999,0.0094,0.0095,185,112201,1
0.17457,0.1792,0.16691,0.16965,81333,1264280,0
0.00015,0.00023,9.00E-05,0.00023,188,58775,0
